Timestamp,2) Are you the primary observer?,3) Photographic or physical evidence,4)  Duration -- How long did the phenomenon last?,5) Color and Brightness,6) Size/shape,"7) Smell, Sound, Heat",8) Behavior  /  path (free-verse),9) Weather conditions,10) Environment: Indoors or Outdoors?,11a) What is the approximate date and time of your observation?,DATE,11b) What is the precise date and (local) time of your observation?,12) What is the location of your observation?,Latitude,Longitude,Confidence,13) Permission to publish report,,RESERVED FOR ADDITIONAL COMMENTS BY RESEARCHERS
8/11/21 12:50,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),Observed for approximately 10 secs.,Light blue and the same color as the cloud to ground lightning was occurring at the same time. The ball had a moderate glow.,Oval shaped approximately 8 inches in length,"No smell, sound, or heat. Object was observed from inside building.","I was lying in bed observing a severe electrical storm. After a bolt struck near by, I saw an oval shaped object light blue in color with sharp edges take a U shaped path in front of my bedroom window. I was not able to see how the object came to an end.",Occurred during a severe thunderstorm with frequent cloud to ground lightning. Hurricane Erin hit earlier in the day and the storm was associated with a far outer band on the storm's eastern side.,The ball lightning occurred outdoors and did not enter building. The event occurred in a suburban area near  power lines including an electrical substation with long distance transmission lines.,"August 3, 1995 between 9 pm and Midnight.",,,"Pensacola, FL. Lat 30.47, Lon 87.29",,,,You may publish my anonymized report,,
8/12/21 10:04,now deceased,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,pink/red not very bright,size of a cricket ball,none reported,it was first seen outside the window of an attic room (4th storey) then floated in through the glass and sank down into the floorboards,none reported,"seen in west london, elgin crescent - ball lightning started off outside of the window then came into the house.",around 1935 - my father saw this when he was about ten years old,,,"3 elgin crescent, notting hill, london",,,,You may publish my anonymized report,,
8/12/21 10:06,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,Electric blue,About the size of a child's space hopper ,Not able to answer,I was looking out of the window during a storm the ball lightning appeared from the right and bounced along the road I remember this very clearly,Middle of a violent storm,Outdoors in a suburb,Summer evening in 1993,,,"7 Coronation Road, Stony Stratford, Milton Keynes, UK",,,,You may publish my anonymized report,,
8/12/21 10:10,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,,,,1975!! . Driving in Dorset UK. Drove over brow of hill outside Shillingstone. Night time maybe 8.00pm. Autumn I think but can’t remember I’m afraid. Three yellow white balls fell slowly out of a misty sky. They drifted downwards to the ground near a farm. They appeared to be large and some distance away maybe a mile. They were all the same size and weren’t aligned as they fell. ,,,,,,,,,,You may publish my anonymized report,,
8/12/21 10:25,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,"mainly blue, orange and yellow/white",a moving circle about the size of a tennis ball,"smell like cordite, as if lighting a match or after a firework display. an explosive sound before we saw it, then a slight buzzing as it travelled up the plane, leaving a light scorch mark on the carpet","wobbly edges, travelling up the centre aisle of the plane at eye level height - totally amazing!","wet, thunderstorm, lightning","Inside  the aeroplane. Some people were screaming, thinking it was a terrorist attack. Then pilot came on saying we had been hit by lightning and were returning to Luton to have the plane checked over.","approximately 15 years ago, 6 pm in the evening",,,"Luton airport, a couple of minutes after takeoff",,,,You may publish my anonymized report,,
8/12/21 10:26,,,3 to 4 seconds,,,,"I doubt that my report will be of particular help, as it's decidedly historical, but having just listened to BBC Radio 4 it fits absolutely perfectly with what the Texas professor described and if nothing else it finally gets recorded.
The event occurred at about 6.30am in July or August 1973. I was among a group of archaeologists billeted in a Village Hall in the village of West Stafford, near Dorchester, Dorset, England. About twenty of us were sleeping on mattresses on the floor of the building and had been woken by a succession of intense thunderstorms that had rumbled on and on, getting close and then fading, only then to start up again. Most of us were therefore wide-wake, sitting up and talking.
The ball-lightning event began when the girl opposite me looked broadly in my direction and screamed. My floor mattress was located immediately beneath a closed glazed window, single-glazed and with old iron window frame. The scream prompted me to look up, and three or four feet above my head was a glowing ball, and it appeared to have travelled through the glass. It was no larger than an orange, was yellow-white in colour, and moved horizontally into the hall before rising up into the wooden roof beams where it discharged - exploded is probably putting it too strongly - with a crackle that reminded me of the noise the old flash-bulbs used to make.
And that's all there is to tell. We'd all seen it, and talked about it for days, though at the time none of us knew what we'd seen and I think I only found out about ball-lightning some years later, which is why I've never got round to recording it. I have no idea if any of the others present that day have ever recorded the event and I'm no longer in touch with any of them.
I remember immediately after the event getting up, and going outside, to check both sides of the window-frame (which is how I recall its construction), thinking that I might find burn-marks or such like. But there was nothing, nor do I recall there being any smell associated with the ball or its eventual disappearance.
I would estimate that the ball of lightning lasted no more than 4 or 5 seconds, and the distance travelled was probably no more than 5 metres.",,,,,,,,,,You may publish my anonymized report,,
8/12/21 10:47,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,yellow-orange glowing like fire,about 10 inches diameter sphere constant shape,"Silent until exploded, no smell noticed",I and my son (email: dominic@carphology.com) were watching a local storm from a bedroom window in Norfolk UK when there suddenly appeared a glowing fiery ball hovering about 5-7 feet from the ground in the garden and about 20 feet from the window. We watched it for about 5-10 seconds when it suddenly exploded with a very loud bang. The electricity supply in the house went off and I found that the explosion had fused/melted the mains switch/cut-out for the domestic supply. The electricity board had to replace it with a new one.,"During a thunderstorm, summer time.","Outdoors, rural, no other structures or buildings apart from the house and an electricity/telephone supply pole and cable to house.","Sorry, can't remember exact date, nearest I can remember is summer time 1983",,,"Google maps: North Elmham UK: 52.75330125727084, 0.9139193600573619",,,,You may publish my anonymized report,,
8/12/21 10:44,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,It was like a persistant 'flash' if that makes sense. It was like the white hot glowing filament inside of a traditional light bulb. The type that when you close your eyes you see an after image.,About the size of a golf ball but as it moved it warped/squashed slightly.,"I can't recall any smell or heat, but after about 5-6 seconds it made contact with a plastic trash can and made a muffled pop.","I was very close to it, the height was less than the height of the trash can so about 30-40 cm from the ground. It moved horizontally almost meandered for about a metre before making contact with the plastic can and making a muffled/fizzling pop. It appeared for a moment to have an arm or appendage of a few centimetres but that could of been the after glow as it travelled",There was thunder and extreme weather in the area but I cannot recall active thunder & lightning near to where I was. At the moment I saw it I was dry,Outdoors in an urban area. I was outside my girlfreinds house waiting for her. I cannot recall if there were powerlines - but the area has pretty dense housing so I doubt that.,"I remember it because it was my Dad's birthday - it was 30th October 2008, early evening - the sun had set but it wasn't fully night",,10/30/08 18:00,"51.48302899099563, -3.159699750468225",,,,You may publish my anonymized report,,
8/12/21 11:27,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,The ball was glowing almost blueish white. ,It was very large but difficult to say how large due to the distance. May have been as large as a car tyre in diamiter,"I was inside the home and some distance away, so I do not know if the ball had heat or odour. However, when it hit the ground there was a huge bang and significantly louder than the sizable thunder claps that we had been listening to. We were in a caravan and everyone was shaken by it. ","This ball just ascended from the sky of grey and dark clouds. It travelled in a strait line directly to the ground, but slower than gravity, if that makes sense.","It was either the summer or late spring and about mid morning. The day was dark and thundery. The thunder storm had been going for some while and the rain had been intermittently hard. However, I don't think it was raining as hard when I saw the ball, as I had a clear view from the window. ","I was in a rural area, there were trees ahead, the ball went into the trees. I do not recall powerlines directly where the ball appeared, but it was highly likely as there were a few more houses in that direction. ","This was many many years ago in the early 80's. However, I really wanted to contribute to this study because I have never forgotten my experience and so many people say there is no such thing as ball lightening.",,,"Suffolk, UK",,,,You may publish my anonymized report,,
8/13/21 2:58,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,"It was a glowing bright blue ball, the only way I can describe the colour is electric blue","It was a sphere about 12 to 15cm in diameter, it didn't change size","It was silent, I didn't notice a smell or any heat coming from it","The ball came into the room that overlooks our back garden, it must have come through either the glass of our backdoor or through the glass of a large window as both were closed. I saw a bright blue ball with soft edges, I felt as if it was alive. My son was in the room with me and we stood very still in the middle of the room to get out of its way as the ball was moving around the edges of the room. I thought it would injure us if it touched us. The ball travelled around the sides of the room before going out through the large window from the same direction it had come from, it then disappeared and I couldn't see it anywhere in the garden. It was moving at a constant speed at about 4 feet off the ground. While the ball was travelling around the room it passed over a Fax machine and telephone  - neither ever worked again and we had to replace them. ",The sky was very dark and I could hear thunder and see lighting. It wasn't particularly cold.,"It happened indoors in our home. We live on the outskirts of Cardiff, Wales. Our house backs onto fields, there are some trees behind our house and beyond that is a reservoir. There are no power lines overhead and the only structure we had at the time was a small shed in our garden that was close to the back of the house. My husband was in there at the time the thunderstorm was overhead, he says that there was a loud clap of thunder and almost immediately the shed became translucent and it would have been just afterwards that the ball lightning appeared inside our house.",Between August and October 1998 probably mid afternoon,,,"43 Blackoak Road, Cardiff, Wales UK CF23 6QT",,,,You may publish my anonymized report,,
8/12/21 11:51,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,White with a yellow tint. A bit brighter than a 100w bulb,Around 30 to 35cm constant size sphere,I was inside so I didn’t smell it or feel heat. I could hear it though.  It fizzed and buzzed then exploded quietly.,"It appeared in front of my eyes approximately 30m away and 15m up. It glowed very brightly as it appeared and was already moving. It was like it just came out of a hole in the sky. It then faded in intensity but remained quite bright. It appeared on my right and travelled to my left, falling slowly and travelling approximately 50m. It moved strangely, like it was bouncing down an invisible hill or it was suspended on a piece of elastic. All the while, small bright particles of light fizzed from it and fell towards the ground apparently affected quite strongly by gravity. Viewed from above, I imagine it followed a straight course. Halfway through its journey it disappeared through the corner of the building opposite my position. It made no fuss as it passed through a brick wall. At the time I thought that was the end of my private fire work display but very quickly a light appeared in the window in the other side of the corner of the building. The ball came right out through the glass of the closed window (It also passed through the net curtains without any visible damage.) and continued its bouncy journey towards the ground in my garden. Just before it reached the ground it exploded . It didn’t explode with a bang, it just fizzed slightly louder. Four or five large pieces and many small bright particles shot out in all directions. The explosion was approximately 10m wide with all of the particles being affected by gravity. Some of the larger ones bounced on the group before disappearing.",It was late summer and quite warm and humid. The sky was full cloud cover with no rain. There was no thunder or lightning. The reason I was looking out of my window in the first place was because the light had changed suddenly outside. There was a green cast to everything. The sky was green. It was really quite eerie. Shortly after I saw the ball lightning it rained very heavily.,"The environment was rural, on a hill close to a large lake. No pylons nearby.  See above for the description of the ball lightning passing through a building.","August 1982! Korbecke, Germany. ",,,"21 Meisen Strasse, Korbecke, Germany. ",,,,You may publish my anonymized report,,
8/12/21 12:07,No,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,Orange ball like 60watt bulb,"Ball 6 inches across , rather fuzzy.",No noise ,First saw ball just above pavement after nearby lightening strike. It rose slowly up the outside of metal drainpipe on side of terraced house and at top of pipe seemed to disappear into the roof.,Thunderstorm going on in area. Ball appeared after a strike nearby.,Outdoor in terraced street in town. No other structures except houses.,Approximately 1935 in the daytime when my father was a young man. He had strong memories of it and told us about it.,,,"Skeffington Road , Preston, Lancashire, England.",,,,You may publish my anonymized report,,
8/12/21 13:29,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5-10 seconds,"yellow/red colour, probably 60-100 W incandescent",sphere perhaps 30cm,"spitting and hissing in heavy rain, no heat, no smell","sparking, perhaps 5-8 metres in the air, outdoors, horizontal movement, did not see formation or demise, it was the noise that drew my attention","heavy rain had just started but no lightning, summer, warm ~20C","outdoors, suburb but <100 meters from agricultural land, no power lines",summer mid-afternoon is as close as I can get (it was nearly 60 years ago),,,"Walsall, England 52.595N 1.966W  (sorry I'm just east of the Greenwich Meridian now)",,,,You may publish my anonymized report,,
8/12/21 13:48,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,Colour - Bright yellow  Brightness - 200 Watt,"Beach ball size - 20 Inches.  Remained a  constant shape, blurred edge","No sound, heat or smell.","I was a 5 year old, told to wait out side a shop for my mother who had popped in for something quickly as it was about to rain,  She opened the shop door and as she entered, a bright ball seemed to appear in the recessed doorway.  it moved steadily and slowly, lets say 2 feet per second along the outside of the shop window a few inches above the ground for several feet and then nothing.  It had simply disapeared.",It was becoming stormy and looked if it might rain.,"Outside a suburban two storey shop, no power line .","You will have to settle for 70 years ago.  Once seen, not forgotten.",,,"Norwich, England. 52.6341582, 1.2476987",,,,You may publish my anonymized report,,
8/12/21 14:51,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),Each occurance lasted around 3 seconds,A small blue bead of light the colour of a gas flame,3mm diameter spherical bead,"No smell, a sparking sound as it was created, no sound as it dissipated in the ceiling","It was generated from a very old style electrical cooker ring. The ring had developed a hot spot ... once morning when the ring was switched on to heat a pot of tea it blew a hole in the bottom of the metal teapot. The cooker ring had a small round melted hole on top. If you switched off and on the cooker ring a small blue bead of glowing light was generated from this melted hole area, it would float up from the cooker ring toward the ceiling taking around 3 seconds to reach the ceiling where it disappeared ... My younger brother and I were fascinated by it and to stop us 'playing' with it my dad used a screwdriver and hammer to break the cooker ring until it could be replaced. How can I put it, it behaved in a way that electricity just does not behave, the only thing that fits the behavior is that it was a form of ball lightening.",Nice day outside,Indoors,1973 ... My dad was still alive so I reckon I was around 7 years old,,,"Slamannan, Scotland",,,,Show it to me before your publish it.,,
8/12/21 14:59,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),30 seconds to a minute,Brilliant white and extremely bright almost painfully so,I remember it being about 4 inches in a round shape with fuzzy edges,"Very strong buzzing, vibrating at high resonance. Noisy and hot as it came near my face ",It was 40 years ago nearly i was 9 or 10 years old so 1984?  It came through an open window i was in bed trying to sleep. I sat up to watch it i thought it was a ghost but i felt calm and comfortable around it. t came slowly through at head height and towards me. It was brilliant white buzzing getting louder with very fuzzy edges sparkling a but like a sparkler on a firework. It moved slowly and  like it was floating circled around my head and then flew out the window!! I cant believe i can actually tell someone about it this is thrilling. I remember it like it was yesterday x,I think there was a storm starting or ending as i had the window open. it was cool and id say 11 pm ish. I can't remember the season but i would guess late summer or early autumn ,It came into my bedroom through the window. My mums house is rural Surrey UK. Trees around everywhere no power lines other than those supplying the house ,Summer 1984 10pm ish ,,,"Adderley, Walpole Avenue, Chipstead Surrey CR5 3PR",,,,You may publish my anonymized report,,
8/12/21 15:06,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),30 seconds to a minute,Bright white like a strong lightbulb,Spherical about the size of a football,Don't remember a smell or heat but think it made a hissing sound ,"Fuzzy edge, constant light. It moved down the aisle of the aeroplane, low down but not on the floor, in a weaving path.",Thunderstorm going on.,In aeroplane.,Between 1970 and 1978. During the daytime.,,,South East Asia,,,,Show it to me before your publish it.,,
8/12/21 15:43,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),15 to 30 seconds," My father and I saw white ball lightening,  ",it was about ten inches squirming the size of a large grapefruit,no smell or sound or heat," It had been raining, but the rain had stopped.The ball of lightening about 20 cm across came out of our lawn and rose up to a Hight of one meter or so, and came toward the house. It journeyed squirming full of energy a bit like a squirming plasma ball  between white and blue and came through the door of the kitchen. It had been moving at the speed of ten cm a second and was quite lethargic in its direction and speed. It came about two meters into the kitchen and moved just above the kitchen units, and  hovered for a couple of seconds and then quickly disappeared through the door of the metal cooker  grill at about 5 feel high as we had a high level grill.almost drawn toward it and it dissipated into the metal of the grill.  I was about two feet from it and my father was about three feet away. we both witnessed this. the ball was moving and although it was about fifty years ago we both remember it clearly. I remember it to be moving like a plasma energy squirming but completely spherical.  there was no evidence anywhere. ", Rain had just finished . no storm or lightening, North London Suburbia . Phone lines and possibly power lines ., tricky as it was fifty years or so ago,,, 121 Charlton road Middlesex London  HA3 9HR,,,,You may publish my anonymized report,,
8/12/21 16:08,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),See my note,White,Pinpoint viewed from ca. 1500’,N/a - distant observation.,"
Heard about you on BBC Radio 4 ‘Inside Science’ just now.

Lifelong amateur interest in meteorology, since tending the school Stevenson screen.

I well remember the August 6 1981 ‘day turned to night’ storm well. MCS? 60k’ cloud tops.

Was working, somewhat distractedly, on the 14th floor of this tower block:

(51.3758471, -0.0964670)

Probably around, or just after midday, I observed a pinpoint of bright light drifting slowly over the lower rise buildings here:

(51.3730407, -0.0993310)

I can’t state a duration but recall some diminution it, hence loss of interest.

Nor can I discount the possibility of it being a child’s foil balloon (hardly a day for a trip to town or party though). Not that these were commonplace in the early 80s, although references suggest development in the 70s:

https://www.partysafe.eu/history-of-balloons

And producers for 37 years:

https://ctiindustries.com/pages/foil-novelty-balloons

This thread may be of interest:

https://www.netweather.tv/forum/topic/31822-daytime-darkness-the-storms-of-august-1981/

An exceptional storm, by UK standards.",See above.,"City, distant observation from high rise.",13.00 UTC +1 August 6 1981,,,"51.3758471, -0.0964670",,,,You may publish my anonymized report,,
8/12/21 16:08,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,I would describe it as a white ball,about 6 inches in diameter,"I got no smell, but the ball disappeared in an explosion.","The ball moved horizontally along the long corridor (which had closed doors at either end.  It disappeared in a loud crack, like thunder.","As far as I remember, it was a humid and possibly thundery afternoon.  This was indoors, so I don't know what the sky was like.","This was in a suburb of Bolton (now Greater Manchester) UK.  There were no power lines in the viscinity.  The building was a Convent, 3 storeys high, though this incident happened on the ground floor. Although I remember the event vividly I am not certain of the year - it was probably 1967, though perhaps 1966.  I was a novice in a convent, which had a long corridor (40 - 50 metres long) running the length of the building. There was a set of external double doors at either end (both sets were closed at the time).  The corridor was about 3 metres wide and had a set of 3 steps one third of the way along.  I was walking down the steps on the right side of the corridor holding an empty tray under my arm (with about 30 metres in front of me).  As I descended the steps, a ball of lightening appeared from behind me and travelled horizontally swiftly down the the left side of the corridor and seemed to explode at the end of the corridor.  It sounded like lightening.  I was the only person on the coridor at the time and I have always assumed that if I had been walking on the left of the corridor, I would have sustained serious injury from it.",Afternoon.,,,"Building at junction of Willows Lane and Hawthorne Rd. Bolton, Deane Bolton UK BL3",,,,You may publish my anonymized report,,
8/12/21 16:11,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,1 x brilliant white glowing orb of light no change in colour ,It was the size of a football (soccer) but it appears at at distance of approximately 50 Meters my assumption is if it was closer it would have been bigger ,No sound from the object only thunder approx 15 seconds after the orb disappeared ,"It was approximately 25 feet from the ground above a tree line floating at the time I thought it was prahaps some sort of high powered spot light in the tree , there was little movement laterally or verticaly but was definitely vibrating/shaking very rapidly within itself, it seemed soft edged an smooth   ","It was cloudy, like a storm was brewing but up until that point no storm had been present in the way of thunder lightning, I had been outside on and off for most of the afternoon. Post the sighting there was an isolated rubble of thunder approx 15 seconds after the light disappeared ",No just in the garden ,Between 06/8/2021 and 11/08/21 @19:30 > 20:30,,,Rushden england Nn100sy from the south east ,,,,You may publish my anonymized report,,
8/12/21 16:23,No,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,Blue Ball,"She said, the size of a fist.",,"My Great Grandfather was hit by ball lightning. My mum told me many years ago. She passed away 1999. So I cannot help in detail of the location, time or date. She said he was sitting at the kitchen table and a ball of lightning came down the chimney, hit the metal pot or cauldron and subsequently hit him in the chest. She said he slumped forward, still sitting in his chair, the lightning ball had killed him. She said, if the window or door had been open, the lightning ball could have escaped. But listening to your piece on the 'Inside Science' programme, it can travel through glass. Lightning always terrified my mum. As soon as there was a lightning storm brewing, she would remove the TV aerial cable, open the transom windows then sit on the stairs, shaking with fear. I think all this behaviour, was from that incident. Sorry I cannot be more precise on any of the other details. 
Chris Holden. UK.",,Indoors (Kitchen),,,,,,,,Show it to me before your publish it.,,
8/12/21 20:47,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),Less than a second,,,,"I don't know if this counts as ball lightning, but about 60 years ago a main fuse blew in our house, in the room next to me.  I was near the open doorway, which was diagonally opposite to the fuse box, so the fuse box was nowhere near my line of sight.  There was a loud BANG as the fuse blew and I saw a small something, shining brightly, fly across the doorway before it disappeared.  There was no trace of anything after it had gone.","I don't remember the weather being inclement at the time.  I think it was sunny, but I could be wrong.","indoors, in a weekend bungalow, in the countryside.  No power lines or towers nearby.","Daytime,  summer I think, 1960-ish",,,"Dobb's Weir Rd, Hoddesdon, Herts EN11 0BD",,,,You may publish my anonymized report,,
8/13/21 0:23,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,Like an incandescent light.,Football size,None,"Crossed the path of my 70,000 tonne containership and then changed direction to follow the vessel, hovering near the funnel. The vessel was travelling east at about 23 knots. It could have been deflected from its path by the sheer mass of the ship's steel. I was the officer of the watch on the bridge.",Clear,"Outdoors in the Indian Ocean, far from land","I cannot recall the exact date or time, but it was in the late 1980s in the Indian Ocean, around 1am local time.",,,Indian Ocean,,,,You may publish my anonymized report,,
8/13/21 3:26,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,A green/white fluorescent ,Basketball ,"Couldn't smell, hear or feel anything. It was completely silent. ","I saw two balls approximately 10 minutes apart. Both were the same colour and size and both took the same path. They both had fuzzy edges and emitting a green/white light (it seemed white in the centre and green on the outside). Both balls flew over the top of my next door neighbours house, both, I would say, on pretty much the same trajectory. I would say they were about 50 feet in the air and both travelled in a straight line before simply disappearing in around the same location. Speed wise they weren't terribly fast, if I had to guess, I'd say anywhere between 15-25mph. I saw the first one just with sheer luck, after that I kept an eye out to see if I could see anymore and sure enough, within 5-10 minutes I saw the other one. As both the balls came from behind my property, I checked the fields behind me and I couldn't make out anyone, to me ruling out potential of fireworks. They struck me as not being fireworks anyway, simply because the behaviour of the balls wasn't like that of erratic fireworks. I posted a status on to a local Facebook group asking if anyone else had seen the lights, a little later I received a private message from someone in a neighbouring village who's grandchild had just seen a ball of light enter the living room via a window and then hit a wall and disappeared. She witnessed it too. ","As far as I can remember the weather was good, it was pretty settled. It occurred on 1st January 2021 between 8pm and 9pm (GMT) so winter and pretty cold. I'm on the side of a valley so the weather could have been different over the top of the valley, which is The direction of where the LB came from. The person in the neighbouring village is also on the same side of the valley. ","For me this occurred outdoors. It is fairly rural where I live. The LB direction was in fact heading toward two large masts on the other side of the valley, they disappeared way before reaching them. Between 15-20 mile in the direction they came from, there is also an extremely large tele mast. As for the woman in the neighbouring village this occurred indoors, she and her grandson were witnesses. I couldn't comment on powerlines or other such structures. ",1st January 2021 between 8pm & 9pm,,1/1/21 20:00,"21 Tudor Street, HD7 5LG, UK",,,,You may publish my anonymized report,,
9/5/21 13:00,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),I could *see* the ball for approx 5 seconds but then it became obscured by house roofs and may have existed for minutes..,Brightness was roughly equivalent to a car headlight reflecting off a tree leaves. Color was pale greenish and gave off some purplish sparks. ,Constant size of a basketball (originally thought to be a reflected car headlight)),N/A since I was indoors behind a closed window during a significant storm.,"Constant velocity linear motion away from me at a height of large trees or street-level power lines. It became obscured by house roofs but it  may well have continued in straight line for almost half a mile, finally colliding with a tree in a local park. The next day or so, I observed that such a tree had been damaged as if by a mild lightning strike. ",Thunderstorm with very significant lightning flashes (that's why we were watching; me and my father) had been in progress for 15-30 minutes. It was a somewhat humid evening.,"Outdoor occurrence in suburban Melbourne, Australia. Viewed from my upstairs bedroom with panoramic corner windows about 100 ft. from the ball. The neighborhood streets had above-ground power lines.","Corroborated 1973 using online data from BOM.gov.au, in the early evening; getting dark. Early or late summer.",,,"-37.795707, 145.074443",,,,You may publish my anonymized report,,
8/13/21 3:56,,,5 to 8 seconds,,,"no smell, no heat","I was sitting in my siting room looking at the television, there was a Wimbledon match playing. Quite suddenly my attention was attracted to the front window, and a slight impact on it. As I watched, a golden ball came through the glass and through the blind (which was arranged in vertical strips), it flipped the blind as it went through. It was the size of a grapefruit with a fizzy red/orange surface, and short fizzy tail. It came through at shoulder height and passed silently between me and the television set, and continued on towards the window at the opposite end. It corrected its course to pass through a small gap, then I didn’t see it any more. All I remember is standing on my feet and loud thunder rumbling around the ceiling.",It was summer time,,late afternoon during the Wimbledon season a bit more than five years ago,,,W11 4JA London,,,,You may publish my anonymized report,,
8/13/21 4:00,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),Less than a second,White,2 feet,A couple of minutes later I could smell ozone as the wind blew towards me.,"I was on the GR11 walk along the Spanish Pyrenees.  I had passed through Panticosa and had climbed up the mountainside in an Easterly direction when I was caught in a heavy thunderstorm.  I tried to shelter at the foot of a cliff while it passed.  My GPS track shows I was stopped for 47 minutes from 13:15 to 14:02 (I think these times are GMT) at 42.756712 N 0.216653 W at an elevation of approximately 2235m.  A lightening strike about 200m in front of me produced a ball at the point of impact.  It lasted only momentarily.  I quote from my diary which I wrote up that evening.  I describe the ascent from Panticosa:

""The next stage started with a long uphill plod.  When getting well up the skies darkened and  thunder started.  I sought sanctuary at the base of some small cliffs. There was a lot of lightening and thunder.  I watched lightening strike hillsides opposite and to the right, 4-5 seconds away.  I waited for te skies to clear as I could see distant hills in sunshine, but it was slow.  The nearest strike was about 1 second away, right in front of me on a small ridge.  At the point of contact it seemed that there was a small ball of lightening perhaps 2 ft diameter.  A couple of minues later there was a strange smell of the lightening. I sat in my shorts and goretex jacket and waited.  Then the rain became hail, up to 10mm diameter, which stung when it hit.  Finally it stopped and I continued ...""

",Heavy thunderstorm,Outdoors on open mountainside,"21 June 2011, about 14:40",,6/21/11 14:40,0.8 miles East of Panticosa in the Spanish Pyrenees at 42.756712 N 0.216653 W,,,,Show it to me before your publish it.,,
8/13/21 4:13,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,Flourescent yellow glowing,Size of football ie soccer ball 200mm diameter ,None as such,"Was looking out of (top hinged) window (ie bottom edge of window was open).heard crack of thunder; thought ooh that was close;slowly a glowing ball rolled down window (presumed was a ball that had been trapped on roof behind a chimney)and whoosh straight through opening,hit me hard in stomach.(just like a football had been kicked at me)I thought oh I'd better lie down what the heck was that! when I recomposed myself -realised I'd be leant over a stainless steel sink (luckily they're all earthed electrically here in England)Think 'ball' was electrical in nature and had been searching for earth.",Torrential rain.lots of thunder.,"As above.rural, probably lightning hit metal tv aerial on roof?",Sorry was 2005 maybe 2007.it rained here for about 6 weeks.,,8/13/21 1:00,Sorry was working in a property nr Stratford on Avon uk.cant remember exact address or date.have put todays date in order to send.,,,,You may publish my anonymized report,,
